collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,gold-underdress,8936685863245,Gold Underdress,5.38,Hero,no,2086,2
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,daria-limited,10833962598733,Daria LIMITED,5.04,New,no,2488,3
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,belisse-limited,10833955914061,Belisse LIMITED,4.62,New,no,2857,4
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,olena-dress,10834006475085,Olena Dress,4.44,New,no,3256,5
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,belisse-dress,10833955160397,Belisse Dress,3.19,New,no,2449,6
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,daria-dress,10833960927565,Daria Dress,3.15,New,no,2699,7
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,nerea-dress,10834097766733,Nerea Dress,3.09,New,no,1880,8
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,adelie-dress,10833893097805,Adélie Dress,2.82,New,no,2141,9
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,sorelia-limited-1,10833930387789,Araminta Dress,2.79,New,no,2590,10
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,gold-underdress-long-1,10566350635341,Gold Underdress Long,2.60,Strong,no,1142,11
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,adara-dress,10834117951821,Adara Dress,2.24,New,no,1369,12
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,lyselle-dress,10833924161869,Lyselle Dress,2.09,New,no,1955,13
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,liora-dress-1,10833878876493,Liora Dress,2.00,New,no,1444,14
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,alessa-dress,10833913938253,Alessa Dress,1.80,New,no,1567,15
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,paloma-dress,10834069487949,Paloma Dress,1.78,New,no,1554,16
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,melisande-top-1,10831622013261,Melisande Top,1.63,New,no,1396,17
