handle,product_id,title,main_collection,main_collection_title,popularity_ratio,merch_tier,popularity_trend,age_status,rank_in_main_collection,sold_out,views_90d,add_to_cart,purchased,popularity_updated,url
stella-top-1,10718845763917,Domna Φούστα,ss26-sirens-skirts,Sirens · Skirts,3.23,Hero,Rising,Established,1,no,9974,480,29,2026-09-23,https://myacollection.com/products/stella-top-1
melisande-top-1,10831622013261,Melisande Top,peonies-tops,Peonies · Tops,3.03,New,New,New,1,no,1396,41,2,2026-09-23,https://myacollection.com/products/melisande-top-1
belisse-cape,10831625519437,Belisse  Cape,peonies-tops,Peonies · Tops,2.89,New,New,New,2,no,1029,15,4,2026-09-23,https://myacollection.com/products/belisse-cape
amari-dress,8669619781965,Amari Φόρεμα,archive-sale,Archive Sale,2.87,Strong,Rising,Established,6,no,1567,86,9,2026-09-23,https://myacollection.com/products/amari-dress
crystalia,10652663251277,Crystalia Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,2.87,Strong,Rising,Established,2,no,19946,386,25,2026-09-23,https://myacollection.com/products/crystalia
velora,10634112041293,Velora Φόρεμα,ss26-sirens,Sirens SS26,2.86,Strong,Rising,Established,12,yes,8155,121,9,2026-09-23,https://myacollection.com/products/velora
zoe-pants,10564703289677,Zoe Παντελόνα,ss26-sirens-pants,Sirens · Pants,2.82,Strong,Rising,Established,1,no,5365,140,2,2026-09-23,https://myacollection.com/products/zoe-pants
ameline-top-1,10831704588621,Ameline Top,peonies-tops,Peonies · Tops,2.70,New,New,New,3,no,842,44,6,2026-09-23,https://myacollection.com/products/ameline-top-1
dalia-dress,10728598831437,Dalia Φόρεμα,ss26-sirens,Sirens SS26,2.69,Strong,New,Ramping,17,yes,11225,112,7,2026-09-23,https://myacollection.com/products/dalia-dress
aeris-jumpsuit,10390642590029,Aeris Ολόσωμη φόρμα,archive-sale,Archive Sale,2.68,Strong,Steady,Established,7,no,1881,68,3,2026-09-23,https://myacollection.com/products/aeris-jumpsuit
doris,10730899734861,Doris Φούστα,ss26-sirens-skirts,Sirens · Skirts,2.65,Strong,New,Ramping,2,no,6377,275,16,2026-09-23,https://myacollection.com/products/doris
alba-pants,10248741912909,Alba Παντελόνα,archive-sale,Archive Sale,2.62,Strong,Fading,Established,8,yes,2714,0,0,2026-09-23,https://myacollection.com/products/alba-pants
nerea-dress,10834097766733,Nerea Dress,peonies-dress,Peonies · Dresses,2.56,New,New,New,5,no,1880,38,7,2026-09-23,https://myacollection.com/products/nerea-dress
coco-skirt,10730655580493,Coco Φούστα,ss26-sirens-skirts,Sirens · Skirts,2.52,Strong,New,Ramping,3,no,5868,398,22,2026-09-23,https://myacollection.com/products/coco-skirt
belisse-dress,10833955160397,Belisse Dress,peonies-dress,Peonies · Dresses,2.51,New,New,New,6,no,2449,25,4,2026-09-23,https://myacollection.com/products/belisse-dress
daria-dress,10833960927565,Daria Dress,peonies-dress,Peonies · Dresses,2.46,New,New,New,7,no,2699,35,4,2026-09-23,https://myacollection.com/products/daria-dress
copy-copy-75,10633925165389,Delya Φόρεμα,ss26-sirens,Sirens SS26,2.46,Strong,Steady,Established,18,yes,10252,262,19,2026-09-23,https://myacollection.com/products/copy-copy-75
capri-1,10731572789581,Capri Τοπ,ss26-sirens-tops,Sirens · Tops,2.42,Strong,New,Ramping,4,yes,5528,349,23,2026-09-23,https://myacollection.com/products/capri-1
scorpios-limited,10731628429645,Scorpios LIMITED,ss26-sirens,Sirens SS26,2.39,Strong,New,Ramping,20,yes,7897,64,2,2026-09-23,https://myacollection.com/products/scorpios-limited
hilary-dress,10566159991117,Hilary Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,2.36,Strong,Steady,Established,3,yes,14803,431,44,2026-09-23,https://myacollection.com/products/hilary-dress
melin-top,10804955087181,Melin Top,ss26-sirens-tops,Sirens · Tops,2.31,Strong,New,Ramping,5,no,1649,175,4,2026-09-23,https://myacollection.com/products/melin-top
victoria,10697115926861,Victoria Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,2.31,Strong,Steady,Established,4,no,17323,70,1,2026-09-23,https://myacollection.com/products/victoria
adelie-dress,10833893097805,Adélie Dress,peonies-dress,Peonies · Dresses,2.26,New,New,New,8,no,2141,34,2,2026-09-23,https://myacollection.com/products/adelie-dress
maeva-kids,10700591759693,Maeva Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,2.25,Strong,Steady,Established,1,yes,1943,28,3,2026-09-23,https://myacollection.com/products/maeva-kids
arielia-kids,10700696977741,Arielia Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,2.24,Strong,Steady,Established,2,yes,1894,38,2,2026-09-23,https://myacollection.com/products/arielia-kids
ember-skirt,10387831095629,Ember Φούστα,archive-sale,Archive Sale,2.21,Strong,Steady,Established,9,no,2068,23,0,2026-09-23,https://myacollection.com/products/ember-skirt
runa-top,10566035374413,Runa Τοπ,ss26-sirens-tops,Sirens · Tops,2.15,Strong,Fading,Established,6,no,5147,47,1,2026-09-23,https://myacollection.com/products/runa-top
sorelia-limited-1,10833930387789,Araminta Dress,peonies-dress,Peonies · Dresses,2.12,New,New,New,9,no,2590,24,3,2026-09-23,https://myacollection.com/products/sorelia-limited-1
evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,2.08,Strong,Steady,Established,5,yes,11724,395,24,2026-09-23,https://myacollection.com/products/evelisse-limited
ameline-skirt,10833816387917,Ameline  Skirt,peonies-skirts,Peonies · Skirts,2.01,New,New,New,1,no,520,8,0,2026-09-23,https://myacollection.com/products/ameline-skirt
argenta-cape,10563227615565,Argenta Κάπα,ss26-sirens-tops,Sirens · Tops,1.96,Strong,Fading,Established,7,yes,4111,30,1,2026-09-23,https://myacollection.com/products/argenta-cape
calista-skirt,10831800795469,Calista Skirt,peonies-skirts,Peonies · Skirts,1.95,New,New,New,2,no,831,15,1,2026-09-23,https://myacollection.com/products/calista-skirt
perla,10730988405069,Perla Φόρεμα,ss26-sirens,Sirens SS26,1.93,Strong,New,Ramping,29,yes,5688,104,4,2026-09-23,https://myacollection.com/products/perla
empress-skirt,10074122977613,Empress Skirt,ss26-sirens-skirts,Sirens · Skirts,1.91,Strong,Rising,Established,4,yes,5499,334,20,2026-09-23,https://myacollection.com/products/empress-skirt
evania-pants,10831763931469,Evania Pants,peonies-pants,Peonies · Pants,1.91,New,New,New,1,no,231,16,1,2026-09-23,https://myacollection.com/products/evania-pants
eira-cape-1,10831635022157,Eira  Cape,peonies-tops,Peonies · Tops,1.89,New,New,New,4,no,563,4,1,2026-09-23,https://myacollection.com/products/eira-cape-1
ariel-siren-dress-blue,10559049138509,Ariel Siren Φόρεμα γαλάζιο,ss26-sirens-dresses,Sirens · Dresses,1.88,Strong,Fading,Established,6,yes,12733,165,9,2026-09-23,https://myacollection.com/products/ariel-siren-dress-blue
celestia-kids,10700575211853,Celestia Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,1.88,Strong,Steady,Established,3,no,1586,17,0,2026-09-23,https://myacollection.com/products/celestia-kids
harmonia-dress-1,10524729114957,Harmonia Φόρεμα,archive-sale,Archive Sale,1.88,Strong,Rising,Established,10,no,1766,26,0,2026-09-23,https://myacollection.com/products/harmonia-dress-1
adara-dress,10834117951821,Adara Dress,peonies-dress,Peonies · Dresses,1.86,New,New,New,10,no,1369,23,5,2026-09-23,https://myacollection.com/products/adara-dress
phoebe-dress,10564863885645,Phoebe Φόρεμα,ss26-sirens,Sirens SS26,1.86,Strong,Fading,Established,31,yes,7952,42,2,2026-09-23,https://myacollection.com/products/phoebe-dress
zoe-kids,10703252554061,Zoe Kids Κιμονό,ss26-sirens-kids,Sirens · Kids,1.86,Strong,Steady,Established,4,yes,1411,12,1,2026-09-23,https://myacollection.com/products/zoe-kids
lydia,10714458063181,Lydia Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.83,Strong,Rising,Established,2,yes,8163,94,6,2026-09-23,https://myacollection.com/products/lydia
magnolia-top,10731569217869,Magnolia Τοπ,ss26-sirens-tops,Sirens · Tops,1.82,Strong,New,Ramping,8,no,4031,300,21,2026-09-23,https://myacollection.com/products/magnolia-top
orlaya-1,10641885364557,Orlaya Φούστα,ss26-sirens-skirts,Sirens · Skirts,1.79,Strong,Fading,Established,5,yes,5181,98,1,2026-09-23,https://myacollection.com/products/orlaya-1
lynn-ann-top,8669577445709,Lynn Ann Τοπ,archive-sale,Archive Sale,1.77,Strong,Steady,Established,11,no,1443,81,3,2026-09-23,https://myacollection.com/products/lynn-ann-top
marisa,10671661482317,Marisa Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.76,Strong,Rising,Established,7,yes,10471,308,22,2026-09-23,https://myacollection.com/products/marisa
alessia-kimono,10833837261133,Alessia Kimono,peonies-kimono-dress,Peonies · Kimono dresses,1.72,New,New,New,1,no,694,11,2,2026-09-23,https://myacollection.com/products/alessia-kimono
ameline-top,10831700951373,Ameline Top,peonies-tops,Peonies · Tops,1.72,New,New,New,5,no,404,24,0,2026-09-23,https://myacollection.com/products/ameline-top
kalina-dress,10834708365645,Kalina Dress,peonies-dress,Peonies · Dresses,1.70,New,New,New,11,yes,1878,17,2,2026-09-23,https://myacollection.com/products/kalina-dress
maeva-dress,10566112903501,Maeva Φόρεμα,ss26-sirens,Sirens SS26,1.70,Strong,Steady,Established,34,no,3089,102,4,2026-09-23,https://myacollection.com/products/maeva-dress
solenne,10644069187917,Solenne Φόρεμα,ss26-sirens,Sirens SS26,1.69,Strong,Steady,Established,35,yes,7771,69,3,2026-09-23,https://myacollection.com/products/solenne
melin-skirt,10804947190093,Melin Skirt,ss26-sirens-skirts,Sirens · Skirts,1.67,Strong,New,Ramping,6,no,1780,235,4,2026-09-23,https://myacollection.com/products/melin-skirt
sophia,10642032361805,Sophia Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.66,Strong,Fading,Established,8,no,12047,31,2,2026-09-23,https://myacollection.com/products/sophia
aurielle-dress,10525038674253,Aurielle Φόρεμα,archive-sale,Archive Sale,1.65,Strong,Rising,Established,12,no,1243,16,0,2026-09-23,https://myacollection.com/products/aurielle-dress
thalina-dress-1,10559114215757,Thalina Φόρεμα,ss26-sirens,Sirens SS26,1.65,Strong,Steady,Established,37,yes,4040,480,1,2026-09-23,https://myacollection.com/products/thalina-dress-1
elara-skirt,10833813078349,Elara  Skirt,peonies-skirts,Peonies · Skirts,1.64,New,New,New,3,no,697,7,0,2026-09-23,https://myacollection.com/products/elara-skirt
liora-dress-1,10833878876493,Liora Dress,peonies-dress,Peonies · Dresses,1.64,New,New,New,12,no,1444,45,7,2026-09-23,https://myacollection.com/products/liora-dress-1
luvora-dress,10525019046221,Luvora Φόρεμα,archive-sale,Archive Sale,1.64,Strong,Rising,Established,13,yes,1225,15,1,2026-09-23,https://myacollection.com/products/luvora-dress
nerida,10710349381965,Nerida Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.64,Strong,Rising,Established,9,no,8969,374,15,2026-09-23,https://myacollection.com/products/nerida
leandra-dress,10814122819917,Leandra Dress,ss26-sirens,Sirens SS26,1.63,Strong,New,Ramping,38,no,2198,22,0,2026-09-23,https://myacollection.com/products/leandra-dress
gold-underdress,8936685863245,Gold Underdress,underdress,Peonies · Underdress,1.62,Strong,Steady,Established,1,no,2086,264,46,2026-09-23,https://myacollection.com/products/gold-underdress
neta-top,10566385434957,Neta Τοπ,ss26-sirens-tops,Sirens · Tops,1.62,Strong,Fading,Established,9,yes,3741,92,3,2026-09-23,https://myacollection.com/products/neta-top
aviana-cape,10831648227661,Aviana  Cape,peonies-tops,Peonies · Tops,1.61,New,New,New,6,no,712,14,0,2026-09-23,https://myacollection.com/products/aviana-cape
greta-dress,10566155960653,Greta Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,1.60,Strong,Fading,Established,10,no,9251,35,2,2026-09-23,https://myacollection.com/products/greta-dress
lyselle-dress,10833924161869,Lyselle Dress,peonies-dress,Peonies · Dresses,1.60,New,New,New,13,no,1955,20,3,2026-09-23,https://myacollection.com/products/lyselle-dress
doris-1,10730911793485,Doris Τοπ,ss26-sirens-tops,Sirens · Tops,1.59,Strong,New,Ramping,10,no,3100,248,18,2026-09-23,https://myacollection.com/products/doris-1
cassia-skirt,10833817010509,Cassia  Skirt,peonies-skirts,Peonies · Skirts,1.58,New,New,New,4,no,292,9,1,2026-09-23,https://myacollection.com/products/cassia-skirt
astor-kimono,10566045172045,Astor Kimono,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.57,Strong,Fading,Established,3,yes,6537,14,1,2026-09-23,https://myacollection.com/products/astor-kimono
calypso-top-pink,10559183356237,Calypso Τοπ ροζ,ss26-sirens-tops,Sirens · Tops,1.57,Strong,Steady,Established,11,no,2979,249,10,2026-09-23,https://myacollection.com/products/calypso-top-pink
kirki,10730842784077,Kirki Τοπ,ss26-sirens-tops,Sirens · Tops,1.56,Strong,New,Ramping,12,no,2669,211,16,2026-09-23,https://myacollection.com/products/kirki
elyra-cape,10563208315213,Elyra Κάπα,ss26-sirens-tops,Sirens · Tops,1.55,Strong,Fading,Established,13,yes,3260,0,0,2026-09-23,https://myacollection.com/products/elyra-cape
kirki-kimono,10730877223245,Kirki Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,1.53,Strong,New,Ramping,4,no,5513,132,8,2026-09-23,https://myacollection.com/products/kirki-kimono
livia-copy,10786186232141,Rose Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,1.52,Strong,New,Ramping,1,no,3229,65,3,2026-09-23,https://myacollection.com/products/livia-copy
tamara-jumsuit,10834724651341,Tamara Jumsuit,peonies-jumpsuits,Peonies · Jumpsuits,1.52,New,New,New,1,no,1146,11,1,2026-09-23,https://myacollection.com/products/tamara-jumsuit
rayne-dress,10564896391501,Rayne Φόρεμα,ss26-sirens,Sirens SS26,1.51,Strong,Fading,Established,42,yes,6940,55,1,2026-09-23,https://myacollection.com/products/rayne-dress
violetta-pants,10831729623373,Violetta Pants,peonies-pants,Peonies · Pants,1.51,New,New,New,2,no,157,8,1,2026-09-23,https://myacollection.com/products/violetta-pants
nora,10758769738061,Nora Τοπ,ss26-sirens-tops,Sirens · Tops,1.48,Average,New,Ramping,14,no,2002,68,3,2026-09-23,https://myacollection.com/products/nora
scarlet,10664671936845,Scarlet Φόρεμα,monochrome,Ρούχα Περίστασης (Occasion wear),1.48,Average,Steady,Established,7,yes,5406,15,2,2026-09-23,https://myacollection.com/products/scarlet
